Annual Net emissions/removals 
Query results for — Party: Annex I | Year: 1990 and 3 other(s) | Category: Total GHG emissions without LULUCF and 3 other(s) | Classification: Total for category | Type of value: Net emissions/removals | Gas: CO₂ | Unit: kt and 2 other(s)

 ,Year,1990,1990,1990,2000,2000,2000,2010,2010,2010,Last Inventory Year (2018),Last Inventory Year (2018),Last Inventory Year (2018)
Party,Category \ Unit,kt,t CO₂ equivalent,kt CO₂ equivalent,kt,t CO₂ equivalent,kt CO₂ equivalent,kt,t CO₂ equivalent,kt CO₂ equivalent,kt,t CO₂ equivalent,kt CO₂ equivalent
Annex I,Total GHG emissions without LULUCF,15093879.778190881,15093879778.190882,15093879.778190881,14533652.422274766,14533652422.274767,14533652.422274766,14248604.110706683,14248604110.706684,14248604.110706683,13530372.542324822,13530372542.324821,13530372.542324822
Annex I,Total GHG emissions with LULUCF,13721467.597754803,13721467597.754803,13721467.597754803,12586651.59535484,12586651595.35484,12586651.59535484,12121543.528746566,12121543528.746565,12121543.528746566,11526619.05604783,11526619056.04783,11526619.05604783
Annex I,1.A.1  Energy Industries,5829889.334582501,5829889334.582501,5829889.334582501,5814889.83769223,5814889837.69223,5814889.83769223,5889141.097906486,5889141097.9064865,5889141.097906486,5006190.013049647,5006190013.049647,5006190.013049647
Annex I,1.A.1.a.i  Electricity Generation,2729526.002158096,2729526002.158096,2729526.002158096,3054991.3924069833,3054991392.4069834,3054991.3924069833,2999147.950814591,2999147950.814591,2999147.950814591,2335279.699125839,2335279699.1258388,2335279.699125839


Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.
"Note 3: – means ""No data available"""
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions."

Source: UNFCCC GHG Data Interface

"Report produced on Wednesday, 9 June 2021, 12:54:05 CEST"
