ID,Tick,Type,Carbon,Electricity
16,1,GAS,1257477.5,50.962288
20,1,GAS,1118607.6,48.77899
29,1,WIND,8649.663,26.973661
5,1,WIND,7698.7783,25.407988
17,1,COAL,3180450.5,64.737335
4,1,GAS,1244684.1,51.113483
22,1,WIND,8364.535,27.175673
27,1,COAL,3936257.0,68.1327
18,1,GAS,1212059.5,49.92802
6,1,GAS,1405867.9,51.967743
13,1,GAS,1390071.8,51.626858
0,1,GAS,1200844.9,48.834393
3,1,NUCLEAR,271769.5,149.8687
11,1,NUCLEAR,270707.3,146.87975
6,2,WIND,6620.162,23.528091
7,2,COAL,4750975.0,73.965324
4,2,WIND,6298.7544,23.379398
23,2,WIND,6434.755,23.367205
21,2,WIND,6364.914,23.306051
22,2,WIND,6749.568,23.550034
26,2,WIND,6664.121,23.230957
12,2,WIND,5993.2485,22.363504
16,2,WIND,6111.5796,22.333403
29,2,WIND,7075.251,24.024067
1,2,WIND,6740.8784,22.934078
5,2,WIND,6539.2695,23.860136
2,2,WIND,7949.9355,25.02797
14,2,WIND,6939.98,23.551096
18,2,WIND,6392.752,23.330624
9,2,WIND,6727.553,23.4434
0,2,WIND,6277.0415,22.371792
20,2,WIND,7113.765,24.756813
28,2,WIND,7471.421,24.365429
25,2,WIND,7726.5933,24.347055
15,2,WIND,7666.6606,25.540228
19,2,WIND,7462.057,24.700108
10,2,WIND,7672.36,25.379017
13,2,WIND,6351.1216,23.299572
27,2,WIND,7050.296,23.382
3,2,WIND,7852.4297,25.271923
17,2,WIND,7055.4863,24.617933
8,2,COAL,3718055.0,67.39967
24,2,WIND,6550.8,23.451092
11,2,WIND,5487.323,23.06256
6,2,WIND,7340.8423,24.346632
7,2,GAS,1407845.2,52.802216
4,2,WIND,7245.198,24.17215
23,2,WIND,6544.388,23.62885
21,2,WIND,7221.2944,24.356125
22,2,WIND,6761.327,24.054058
26,2,WIND,6187.7803,23.341574
12,2,WIND,6832.2056,23.504208
16,2,WIND,7061.204,24.223608
29,2,WIND,6606.4155,24.327658
1,2,WIND,7864.3823,25.29688
5,2,WIND,6847.5083,24.413872
2,2,WIND,8460.607,26.221386
14,2,WIND,8341.565,25.603962
18,2,WIND,7348.921,25.616453
9,2,WIND,6750.979,23.709698
