Tick,Coal_Carbon,Gas_Carbon,Nuclear_Carbon,Wind_Carbon,Coal_Electricity,Gas_Electricity,Nuclear_Electricity,Wind_Electricity
54,5.7950936E7,8.6072288E7,5438925.5,430701.4,1105.636,3537.0488,3002.7942,1427.9454
55,5.7950936E7,8.6072288E7,5438925.5,430701.4,1105.636,3537.0488,3002.7942,1427.9454
56,5.7950936E7,8.6072288E7,5438925.5,430701.4,1105.636,3537.0488,3002.7942,1427.9454
57,5.7950936E7,8.6072288E7,5438925.5,439013.1,1105.636,3537.0488,3002.7942,1454.3583
58,5.7950936E7,8.6072288E7,5438925.5,446517.16,1105.636,3537.0488,3002.7942,1478.9042
59,5.7950936E7,8.6072288E7,5438925.5,446517.16,1105.636,3537.0488,3002.7942,1478.9042
60,6.0906796E7,8.6072288E7,5438925.5,446517.16,1167.8488,3537.0488,3002.7942,1478.9042
61,6.0906796E7,8.6072288E7,5438925.5,446517.16,1167.8488,3537.0488,3002.7942,1478.9042
62,6.0906796E7,8.725144E7,5438925.5,446517.16,1167.8488,3585.4182,3002.7942,1478.9042
63,6.0906796E7,8.725144E7,5438925.5,455051.03,1167.8488,3585.4182,3002.7942,1506.1018
64,6.0906796E7,8.725144E7,5438925.5,455051.03,1167.8488,3585.4182,3002.7942,1506.1018
65,5.3603272E7,8.725144E7,5438925.5,455051.03,1035.9478,3585.4182,3002.7942,1506.1018
66,5.3603272E7,8.725144E7,5438925.5,463198.78,1035.9478,3585.4182,3002.7942,1532.5342
67,5.3603272E7,8.725144E7,5438925.5,463198.78,1035.9478,3585.4182,3002.7942,1532.5342
68,5.7950936E7,8.725144E7,5438925.5,463198.78,1105.636,3585.4182,3002.7942,1532.5342
69,5.7950936E7,8.725144E7,5438925.5,463198.78,1105.636,3585.4182,3002.7942,1532.5342
70,5.7950936E7,8.725144E7,5438925.5,463198.78,1105.636,3585.4182,3002.7942,1532.5342
71,5.7950936E7,8.725144E7,5438925.5,463198.78,1105.636,3585.4182,3002.7942,1532.5342
72,5.7950936E7,8.725144E7,5438925.5,463198.78,1105.636,3585.4182,3002.7942,1532.5342
73,5.7950936E7,8.725144E7,5438925.5,463198.78,1105.636,3585.4182,3002.7942,1532.5342
74,5.7950936E7,8.725144E7,5438925.5,470537.06,1105.636,3585.4182,3002.7942,1558.0756
75,5.3603272E7,8.8575792E7,5438925.5,470537.06,1035.9478,3637.5977,3002.7942,1558.0756
76,5.7950936E7,8.8575792E7,5438925.5,480239.78,1105.636,3637.5977,3002.7942,1585.4259
77,5.7950936E7,8.8575792E7,5438925.5,487456.12,1105.636,3637.5977,3002.7942,1610.4127
78,5.7950936E7,8.8575792E7,5438925.5,487456.12,1105.636,3637.5977,3002.7942,1610.4127
79,5.3603272E7,8.8575792E7,5438925.5,494067.03,1035.9478,3637.5977,3002.7942,1633.7817
80,5.3603272E7,8.8575792E7,5438925.5,501802.0,1035.9478,3637.5977,3002.7942,1658.144
81,5.032902E7,8.8575792E7,5438925.5,508856.38,971.6933,3637.5977,3002.7942,1682.7933
82,5.032902E7,8.8575792E7,5438925.5,508856.38,971.6933,3637.5977,3002.7942,1682.7933
83,5.032902E7,8.8575792E7,5438925.5,508856.38,971.6933,3637.5977,3002.7942,1682.7933
84,5.032902E7,8.8575792E7,5438925.5,508856.38,971.6933,3637.5977,3002.7942,1682.7933
85,5.032902E7,8.8575792E7,5438925.5,508856.38,971.6933,3637.5977,3002.7942,1682.7933
86,5.3603272E7,8.8575792E7,5438925.5,508856.38,1035.9478,3637.5977,3002.7942,1682.7933
87,5.3603272E7,8.8575792E7,5438925.5,515539.62,1035.9478,3637.5977,3002.7942,1706.7144
88,5.3603272E7,8.8575792E7,5438925.5,515539.62,1035.9478,3637.5977,3002.7942,1706.7144
89,5.3603272E7,8.8575792E7,5438925.5,515539.62,1035.9478,3637.5977,3002.7942,1706.7144
90,4.7098332E7,8.725144E7,5673432.5,515539.62,908.04376,3585.4182,3146.1646,1706.7144
91,4.7098332E7,8.725144E7,5673432.5,515539.62,908.04376,3585.4182,3146.1646,1706.7144
92,4.7098332E7,8.725144E7,5673432.5,515539.62,908.04376,3585.4182,3146.1646,1706.7144
93,4.7098332E7,8.725144E7,5673432.5,515539.62,908.04376,3585.4182,3146.1646,1706.7144
94,3.6151524E7,8.725144E7,5673432.5,515539.62,704.8158,3585.4182,3146.1646,1706.7144
